reporter,year,hs_code,value_billions,yoy_growth
China,2005,61,30.870774521,NA
China,2005,62,35.030827904,NA
Bangladesh,2005,61,3.3469253390000002,NA
Bangladesh,2005,62,3.498608848,NA
Viet Nam,2005,61,1.72027544,NA
Viet Nam,2005,62,2.837741253,NA
India,2005,61,3.124753929,NA
India,2005,62,5.075898914,NA
China,2006,61,44.900426797,45.44638899959008
China,2006,62,43.720321656,24.80527658613456
Bangladesh,2006,61,4.072097406,21.666813374948724
Bangladesh,2006,62,4.179923628,19.47387689222468
Viet Nam,2006,61,2.031765501,18.106987622865802
Viet Nam,2006,62,3.385355895,19.29755369419511
India,2006,61,3.576970281,14.47206283359152
India,2006,62,5.438100921,7.135721438443139
China,2007,61,61.509357557,36.990585490625485
China,2007,62,47.37175168,8.351791308239132
Bangladesh,2007,61,4.734698171,16.27173171308957
Bangladesh,2007,62,4.588550374,9.775938088024807
Viet Nam,2007,61,3.035133733,49.38405694486686
Viet Nam,2007,62,4.16886652,23.144113921883534
India,2007,61,4.12943673,15.44509474776931
India,2007,62,5.24392299,-3.570693773816421
China,2008,61,60.877450358,-1.027335065911594
China,2008,62,52.490143015,10.804733102493538
Bangladesh,2008,61,6.299690509,33.05368751033741
Bangladesh,2008,62,5.649460604,23.12081471332234
Viet Nam,2008,61,3.894277845,28.306631192517546
Viet Nam,2008,62,4.605472541,10.473015120666426
India,2008,61,4.381111325,6.094647077932101
India,2008,62,5.883939758,12.204923093273736
China,2009,61,53.762968918,-11.686562755440814
China,2009,62,46.716320542,-10.99982233111849
Bangladesh,2009,61,6.470641883,2.713647182441284
Bangladesh,2009,62,5.811372699,2.8659744062178425
Viet Nam,2009,61,3.974682501,2.0646871949117496
Viet Nam,2009,62,4.354375392,-5.4521473478480225
India,2009,61,5.187318731,18.401892720678592
India,2009,62,6.124697241,4.091773418867138
China,2010,61,66.710933331,24.0834252155018
China,2010,62,54.361477978,16.365067598007162
Bangladesh,2010,61,7.785527632,20.320793095574256
Bangladesh,2010,62,7.059025061,21.469150691620445
Viet Nam,2010,61,4.899446102,23.266351482598573
Viet Nam,2010,62,5.219490673,19.867723912582697
India,2010,61,4.566024827,-11.977168479875324
India,2010,62,6.038004232,-1.4154660318498542
China,2011,61,80.164561226,20.167050921394033
China,2011,62,63.073873395,16.026781723127336
Bangladesh,2011,61,9.936304901,27.625324456622515
Bangladesh,2011,62,9.225733521,30.69416018892925
Viet Nam,2011,61,5.909829834,20.622407328607046
Viet Nam,2011,62,6.910221682,32.39264355324963
India,2011,61,5.807252397,27.183986443970348
India,2011,62,7.937482717,31.45871403887417
China,2012,61,87.045225061,8.58317407314439
China,2012,62,61.224359527,-2.932297904740091
Bangladesh,2012,61,9.421033677,-5.185742880616936
Bangladesh,2012,62,9.850163837,6.768354132261087
Viet Nam,2012,61,6.63995275,12.354381369824058
Viet Nam,2012,62,7.438868696,7.650217870391031
India,2012,61,5.466346913,-5.8703404070419
India,2012,62,7.429975421,-6.393806627295741
China,2013,61,96.792726986,11.198204057912545
China,2013,62,68.251873806,11.478297745035404
Bangladesh,2013,61,9.567937877,1.5593214612813002
Bangladesh,2013,62,9.999795331,1.5190761948338487
Viet Nam,2013,61,7.916530741,19.225708963064534
Viet Nam,2013,62,8.828950309,18.686734096375016
India,2013,61,6.959256941,27.31092723825448
India,2013,62,8.743399874,17.67737278494558
China,2014,61,91.991730096,-4.960080203850873
China,2014,62,81.445115755,19.330226722420303
Viet Nam,2014,61,9.180767693,15.969583058049292
Viet Nam,2014,62,10.518409798,19.135451326278393
India,2014,61,7.48248743,7.518482122960897
India,2014,62,9.055716071,3.5720223425755355
China,2015,61,83.786271223,-8.91977883711613
China,2015,62,78.439918318,-3.689843656236089
Bangladesh,2015,61,12.767099522,33.43627107665846
Bangladesh,2015,62,13.765225603,37.655073402621824
Viet Nam,2015,61,10.111020292,10.132623219616839
Viet Nam,2015,62,11.32316255,7.650897497386124
India,2015,61,7.78124914,3.992812721637943
India,2015,62,9.349940548,3.2490470625754497
China,2016,61,74.4134405,-11.18659487549446
China,2016,62,72.06492362,-8.127232708421998
Bangladesh,2016,61,13.735477885445999,7.584951944467172
Bangladesh,2016,62,14.927088619131,8.440566465382043
Viet Nam,2016,61,10.801483624549999,6.828819571218792
Viet Nam,2016,62,11.60848585309,2.51981989863778
India,2016,61,7.910076151,1.6556083564752724
India,2016,62,9.051089148,-3.1962919813851043
China,2017,61,71.82361299,-3.4803222275416665
China,2017,62,73.408647525,1.8646018582986246
Bangladesh,2017,61,15.954125327711001,16.152677473390735
Bangladesh,2017,62,16.02802237721,7.375408468252882
Viet Nam,2017,61,12.0586451019,11.638785198846941
Viet Nam,2017,62,12.337234686299999,6.277725126537641
India,2017,61,8.347736721819,5.532950157043314
India,2017,62,8.997092018889,-0.596581563036901
China,2018,61,73.41165183,2.2110261150759687
China,2018,62,71.322796649,-2.8414239280047395
Bangladesh,2018,61,16.249418632868,1.8508899679012745
Bangladesh,2018,62,16.649907827233,3.8799886560381287
Viet Nam,2018,61,13.85036203134,14.858360241132655
Viet Nam,2018,62,14.30129756008,15.919798266956969
India,2018,61,7.564780995127,-9.379257549480927
India,2018,62,8.066004666067,-10.348758808593066
China,2019,61,71.352803266,-2.8045255932500948
China,2019,62,66.663157206,-6.533169844603023
Viet Nam,2019,61,14.88492336413,7.469561665240515
Viet Nam,2019,62,15.15309779839,5.956104575347603
India,2019,61,7.879612139863,4.161801180216645
India,2019,62,8.362198559020001,3.67212647668137
China,2020,61,62.227840881,-12.788512808645446
China,2020,62,62.275543949,-6.58176636225247
Viet Nam,2020,61,13.700826898826,-7.955005453084565
Viet Nam,2020,62,13.329805832766,-12.032470125136541
India,2020,61,6.1203114493260005,-22.327249860899727
India,2020,62,6.10455885285,-26.998159517926858
China,2021,61,85.155932577,36.84539166294717
China,2021,62,68.39709138,9.829777538375561
Viet Nam,2021,61,15.734486761805,14.84333666863028
Viet Nam,2021,62,13.659989827092,2.477035288198826
India,2021,61,7.870323034401,28.593505405149273
India,2021,62,7.332885448126,20.121463727105166
China,2022,61,90.942323926,6.795053701945906
China,2022,62,76.874393698,12.39424388809441
Viet Nam,2022,61,17.320344735458,10.078866871607302
Viet Nam,2022,62,16.693637657745,22.208272985945683
India,2022,61,8.203849778837,4.237777064272486
India,2022,62,8.473393494189999,15.553332370076337
China,2023,61,82.310721188,-9.491293344365772
China,2023,62,70.176718861,-8.712491266352917
Viet Nam,2023,61,14.763153535708,-14.764089507496639
Viet Nam,2023,62,15.315313547219999,-8.256583368967094
India,2023,61,6.662122700291,-18.792726830799662
India,2023,62,7.8348031441920005,-7.5364179703900716
China,2024,61,85.263543484,3.58740909249922
China,2024,62,67.764396655,-3.4374964306583196
India,2024,61,7.409129831998,11.212749529130871
India,2024,62,8.06682119486,2.9613769024942957
